,id,source_wsi,dataset,fold
180,64a7e1b01c32,1,1,2.0
181,651281290617,2,1,2.0
182,652bd8e1cb00,2,1,2.0
183,65a235166914,1,1,2.0
184,65e7ca00c422,2,1,2.0
185,65fcbb5ef4c7,1,1,2.0
186,664fdc3e5dca,1,1,2.0
187,66bc46f89c87,2,1,2.0
188,678c51bde237,1,1,2.0
189,67a7395eef7d,2,1,2.0
190,68600400d70b,2,1,2.0
191,68e0e9974b36,2,1,2.0
192,68fad6106167,2,1,2.0
193,6932d1e4a62b,1,1,2.0
194,6a4d868ab872,1,1,2.0
195,6a5db683c6e5,2,1,2.0
196,6aa29be63071,2,1,2.0
197,6b0fd03dfafe,1,1,2.0
198,6ba7c5991bf9,2,1,2.0
199,6f6d94a82c86,1,1,2.0
200,71bf4443c163,1,1,2.0
201,733296a59c9b,1,1,2.0
202,7392e21e0fe2,1,1,2.0
203,73d99bec414b,2,1,2.0
204,758c0b61f9db,1,1,2.0
205,77c7c3714f08,1,1,2.0
206,7a115ea6545e,2,1,2.0
207,7aa96f6832b9,1,1,2.0
208,7ae0eb4bda2c,1,1,2.0
209,7b521f53df5b,1,1,2.0
210,7b7327ccac8d,1,1,2.0
211,7c58b92324f7,1,1,2.0
212,7d0038b7076a,1,1,2.0
213,7db4a2106f14,1,1,2.0
214,7e72cf2b43bf,1,1,2.0
215,7e97ecdac5d2,2,1,2.0
216,7ed2263d8989,2,1,2.0
217,7fc91238e6f8,2,1,2.0
218,8047c43b1cb2,1,1,2.0
219,8182a03edd17,1,1,2.0
220,81e49a2e8c6b,1,1,2.0
221,8254e9f1af65,2,1,2.0
222,836f728b5c18,1,1,2.0
223,83accb438714,1,1,2.0
224,84d81e7b03c1,2,1,2.0
225,8533ba9bc160,1,1,2.0
226,8565f71a4149,1,1,2.0
227,866cff076c29,2,1,2.0
228,87a07ec41751,1,1,2.0
229,881186005e82,1,1,2.0
230,88c95fb9fb14,1,1,2.0
231,88d349bebe86,1,1,2.0
232,88e8fbbc2b4e,1,1,2.0
233,891613413e69,1,1,2.0
234,892146ef3207,1,1,2.0
235,8a6e6fb756da,1,1,2.0
236,8abfc630ccdd,1,1,2.0
237,8d24ea45c6b6,2,1,2.0
238,8d60ccc783c1,2,1,2.0
239,8e90e6189c6b,1,1,2.0
240,8f256d18b5e4,1,1,2.0
241,8f4c08f55c0f,2,1,2.0
242,90fae0cae5bd,2,1,2.0
243,91101158fefd,1,1,2.0
244,91170b600f70,1,1,2.0
245,911b753ffe47,2,1,2.0
246,912ebd02ee50,2,1,2.0
247,91858313a40e,1,1,2.0
248,91ba77e94fd3,2,1,3.0
249,9227f6ede08f,1,1,2.0
250,92394add7fb2,2,1,3.0
251,936f9bfb3966,1,1,2.0
252,939c99c1e09a,2,1,3.0
253,94ad7d9e5497,1,1,2.0
254,951d7a241936,1,1,2.0
255,9596b376c210,1,1,2.0
256,96c2d15e0fa1,2,1,3.0
257,97dce4548ae2,2,1,3.0
258,9a2004e16035,1,1,2.0
259,9abb800898c5,2,1,3.0
260,9afac4fc65ef,1,1,3.0
261,9b95807e6b23,1,1,3.0
262,9ba29448632b,2,1,3.0
263,9cbdd3eb5929,1,1,3.0
264,9ed941a933d0,1,1,3.0
265,9f64d430a4cf,2,1,3.0
266,a26531b79940,2,1,3.0
267,a2c83aa5cf1f,2,1,3.0
268,a36f233f5953,2,1,3.0
269,a373ae26f4f0,2,1,3.0
270,a3926b1211d3,2,1,3.0
271,a3ebac2db19d,1,1,3.0
272,a4b58c23d4c6,1,1,3.0
273,a60200ee318c,1,1,3.0
274,a65fdd745f6f,2,1,3.0
275,a7a03dcb5485,1,1,3.0
276,a88bead7ca59,2,1,3.0
277,a8dcf7824e9b,1,1,3.0
278,a9653f16e0b6,1,1,3.0
279,a977353c25d6,1,1,3.0
280,aa5761ee8eda,1,1,3.0
281,aa89285a0dbd,1,1,3.0
282,abe8e23f130b,2,1,3.0
283,ac68833641fe,1,1,3.0
284,ac6d05ce6dd1,1,1,3.0
285,ac8f685801d0,1,1,3.0
286,ad4cabec2278,2,1,3.0
287,ada5d6fa80aa,1,1,3.0
288,ae4641d3fb5f,1,1,3.0
289,af587261a215,1,1,3.0
290,af9c61e40ff5,2,1,3.0
291,b1374d055915,1,1,3.0
292,b20773efe051,1,1,3.0
293,b2e28a0849fb,2,1,3.0
294,b36f28986045,1,1,3.0
295,b454fe1b98f8,1,1,3.0
296,b50d9b7c01c4,1,1,3.0
297,b5e5e2970afb,2,1,3.0
298,b6395d5c113f,1,1,3.0
299,b72ce47d803b,2,1,3.0
300,b73efafa7477,1,1,3.0
301,b898dccf7911,2,1,3.0
302,b8db704134ac,2,1,3.0
303,b9026c35238c,2,1,3.0
304,bac19879fe37,2,1,3.0
305,bb488d9b931e,1,1,3.0
306,bb7e7fae1cf4,2,1,3.0
307,bc995681dd54,1,1,3.0
308,bc9d7d15a9a9,1,1,3.0
309,bd090bb1b654,1,1,3.0
310,bd4bbe103c24,1,1,3.0
311,bda6c8ca9d47,1,1,3.0
312,bdf18b8fa3ed,2,1,3.0
313,be16177671b1,2,1,3.0
314,be9250fc8ec5,1,1,3.0
315,bf96591278cd,1,1,3.0
316,bfd82635f6f9,2,1,3.0
317,c1a16cb3923b,1,1,3.0
318,c504eae8c6bb,2,1,3.0
319,c66de2904503,2,1,4.0
320,c72da07dc0ee,2,1,4.0
321,c79b1b1886d4,1,1,3.0
322,c7d49f3f1ae3,1,1,3.0
323,c864a708f66a,2,1,4.0
324,c9455a06321d,1,1,3.0
325,c956a02b5d22,2,1,4.0
326,c9a0f19e04c5,2,1,4.0
327,c9d0ac176add,1,1,3.0
328,c9dc3cfc0567,1,1,3.0
329,ca081412bad8,1,1,3.0
330,ca178713fdb2,1,1,3.0
331,ca57af0413ac,1,1,3.0
332,cb96f7b681f8,1,1,3.0
333,cbbdc5d83ec9,1,1,3.0
334,cbc4758c8c53,1,1,3.0
335,ccb2255e294d,2,1,4.0
336,cd4b698ac682,1,1,3.0
337,cd6b90e3f4b3,1,1,3.0
338,cd9a241fd4b6,2,1,4.0
339,ce27b0613895,1,1,3.0
340,cf921187e2bc,1,1,3.0
341,cfbf75947d43,1,1,3.0
342,cfe02239d1c7,1,1,3.0
343,d078cb53bbd5,1,1,3.0
344,d12b5c0f5c0e,2,1,4.0
345,d171145b9fb7,1,1,3.0
346,d1d485660263,1,1,4.0
347,d2378fe9bcbd,2,1,4.0
348,d35b6634f6e9,2,1,4.0
349,d3bab0895723,2,1,4.0
350,d4e99e162f37,1,1,4.0
351,d5f4624c23bb,2,1,4.0
352,d6529e6e8602,1,1,4.0
353,d6d79e965902,1,1,4.0
354,d6f0f1f4a7dc,1,1,4.0
355,d74fdf0b9924,2,1,4.0
356,d850250778f2,1,1,4.0
357,d92dc34cd8f2,1,1,4.0
358,d953fe03e1d0,2,1,4.0
359,d9808586aef2,1,1,4.0
360,da1c6d6657e9,1,1,4.0
361,da2863316247,1,1,4.0
362,da774b6f9cd1,2,1,4.0
363,da876b636c6c,1,1,4.0
364,db03a1487798,1,1,4.0
365,db20b95a3ab9,1,1,4.0
366,db8391d91d8d,2,1,4.0
367,db8431a57b16,1,1,4.0
368,dc03d69afd95,1,1,4.0
369,dcea2cfbc429,1,1,4.0
370,dd690b7d9a47,1,1,4.0
371,dde26a95b52c,2,1,4.0
372,dfcea0f4ef63,1,1,4.0
373,e0072029e135,2,1,4.0
374,e0ea1978d5dc,1,1,4.0
375,e176191e4f83,1,1,4.0
376,e1f6c8a7873e,1,1,4.0
377,e283ea6e3f7b,1,1,4.0
378,e2924beb5567,1,1,4.0
379,e2c1ebfddb4a,1,1,4.0
380,e3c41ad419a2,2,1,4.0
381,e4c6313913c3,1,1,4.0
382,e506a133c873,1,1,4.0
383,e5ac1caaadd8,1,1,4.0
384,e63d156bc72f,1,1,4.0
385,e65fc78aa66a,2,1,4.0
386,e6d9bd78b840,1,1,4.0
387,e72945522a29,1,1,4.0
388,e72ed3bd99b5,2,1,4.0
389,e7473674d813,2,1,4.0
390,e7dd45905a5f,1,1,4.0
391,e8a183610034,1,1,4.0
392,e8ff12a57773,2,1,4.0
393,e93185008c33,2,1,4.0
394,e95c2881d1dc,1,1,4.0
395,eaa85fa2b857,1,1,4.0
396,eba1f93e5a11,1,1,4.0
397,ec963d44976f,2,1,4.0
398,ed6a92a9410c,1,1,4.0
399,eda294658a0a,1,1,4.0
400,edae2e5c9f10,2,1,4.0
401,eef5565a7e5a,1,1,4.0
402,ef7f5d12b1ff,1,1,4.0
403,f0c2afc5fb05,1,1,4.0
404,f1af97caff9d,1,1,4.0
405,f21ab98d3572,1,1,4.0
406,f24e15fe294b,1,1,4.0
407,f2a31831f412,2,1,4.0
408,f38f2f72a1b7,2,1,4.0
409,f406fdba08f4,1,1,4.0
410,f40804ea84e6,1,1,4.0
411,f45a29109ff5,1,1,4.0
412,f48f6580655c,1,1,4.0
413,f4c6166d1039,1,1,4.0
414,f6afc2903670,1,1,4.0
415,f6b0c55c34c7,1,1,4.0
416,f73b7aca41d4,2,1,4.0
417,f86347534ec1,2,1,4.0
418,faba1bf818ae,1,1,4.0
419,fc6def641612,1,1,4.0
420,fd2437954fd8,1,1,4.0
421,fe248458ea89,1,1,4.0
